day,temperature_max,temperature_avg,temperature_min,dew_point_max,dew_point_avg,dew_point_min,humidity_max,humidity_avg,humidity_min,wind_speed_max,wind_speed_avg,wind_speed_min,preasure_max,preasure_avg,preasure_min,precipitation,state,year,month
1,34,25.7,20,24,19.9,16,89,79.2,64,8,2.7,0,27.4,27.4,27.3,0.0,ID,2018,1
2,34,27.0,20,23,19.9,16,89,75.0,61,16,7.9,0,27.5,27.5,27.4,0.0,ID,2018,1
3,34,27.0,21,21,18.8,16,89,71.8,59,10,2.7,0,27.4,27.3,27.3,0.0,ID,2018,1
4,35,27.1,20,24,20.8,15,88,77.9,54,6,1.8,0,27.3,27.2,27.2,0.0,ID,2018,1
5,40,32.7,27,30,26.3,23,88,78.2,57,15,2.5,0,27.3,27.2,27.2,0.0,ID,2018,1
6,38,33.6,31,33,31.1,29,96,90.4,79,17,4.3,0,27.2,27.2,27.1,0.08,ID,2018,1
7,44,30.9,26,34,28.1,25,100,89.7,65,10,4.1,0,27.2,27.2,27.1,0.01,ID,2018,1
8,46,36.9,29,34,31.7,27,92,82.0,63,12,3.6,0,27.1,27.0,26.9,0.0,ID,2018,1
9,47,42.5,35,42,39.9,33,100,90.6,79,15,7.6,0,26.9,26.7,26.7,0.07,ID,2018,1
10,43,37.8,34,38,30.1,23,97,75.7,47,12,7.5,0,27.1,26.9,26.8,0.38,ID,2018,1
11,46,39.7,34,39,32.5,25,86,75.6,67,18,10.7,0,27.1,27.1,27.0,0.01,ID,2018,1
12,51,43.4,36,38,34.5,31,93,72.1,50,9,4.8,0,27.4,27.3,27.1,0.06,ID,2018,1
13,49,39.5,33,34,32.3,30,89,76.3,56,9,3.9,0,27.5,27.4,27.4,0.0,ID,2018,1
14,50,39.6,35,36,31.9,30,89,74.8,54,14,5.5,0,27.5,27.4,27.3,0.0,ID,2018,1
15,46,38.6,31,34,30.9,28,92,74.5,58,12,6.0,0,27.3,27.3,27.2,0.0,ID,2018,1
16,44,37.5,33,37,32.0,27,100,81.1,70,13,6.2,0,27.4,27.3,27.2,0.0,ID,2018,1
17,50,35.1,28,34,31.2,28,100,87.3,54,16,7.5,0,27.4,27.3,27.1,0.07,ID,2018,1
18,57,46.0,39,38,35.7,32,96,69.1,47,21,13.4,0,27.1,26.9,26.9,0.0,ID,2018,1
19,44,38.1,30,37,32.6,25,100,82.3,53,14,5.8,0,27.0,26.9,26.9,0.36,ID,2018,1
20,41,34.1,27,28,26.0,23,89,73.3,57,13,5.3,0,27.2,27.1,27.0,0.09,ID,2018,1
21,44,34.9,26,32,25.1,22,89,69.3,47,13,7.0,0,27.3,27.2,27.2,0.0,ID,2018,1
22,45,37.0,31,36,31.4,27,92,81.2,55,16,8.9,0,27.3,27.2,27.2,0.06,ID,2018,1
23,43,36.6,30,29,25.7,23,85,65.6,51,15,10.0,5,27.3,27.2,27.1,0.05,ID,2018,1
24,49,44.6,40,27,25.3,22,58,47.4,35,20,13.5,7,27.1,26.9,26.8,0.0,ID,2018,1
25,44,38.3,33,33,28.2,19,96,69.4,37,17,9.1,0,27.0,26.9,26.8,0.0,ID,2018,1
26,43,36.0,32,30,27.0,22,89,71.2,45,12,7.6,0,27.3,27.2,27.1,0.06,ID,2018,1
27,40,37.1,35,37,30.5,24,93,77.5,59,16,11.5,6,27.4,27.3,27.2,0.0,ID,2018,1
28,54,38.9,32,42,36.1,32,100,91.3,57,10,3.1,0,27.5,27.5,27.4,0.06,ID,2018,1
29,50,38.4,33,38,34.4,31,100,87.9,48,17,4.3,0,27.5,27.4,27.1,0.0,ID,2018,1
30,57,47.4,37,35,29.3,21,65,50.0,37,21,12.5,6,27.1,27.1,27.0,0.0,ID,2018,1
31,43,37.3,32,27,25.0,22,79,62.5,45,9,3.5,0,27.2,27.2,27.1,0.0,ID,2018,1
1,49,41.5,34,31,25.6,22,70,54.8,36,6,2.0,0,27.3,27.3,27.2,0.0,ID,2018,2
2,58,48.6,43,44,38.6,34,86,69.3,51,10,4.4,0,27.3,27.2,27.2,0.0,ID,2018,2
3,60,49.0,39,40,37.3,35,97,66.6,42,14,6.5,0,27.2,27.2,27.2,0.0,ID,2018,2
4,59,50.1,43,44,39.7,35,77,67.7,49,8,3.1,0,27.2,27.1,27.1,0.0,ID,2018,2
5,53,46.1,36,39,32.4,27,79,60.6,37,14,6.6,0,27.1,27.1,27.0,0.0,ID,2018,2
6,51,38.6,0,31,27.4,0,85,62.3,0,10,4.9,0,27.3,27.2,27.1,0.0,ID,2018,2
7,58,44.9,34,34,30.5,27,75,59.0,37,12,6.9,3,27.4,27.4,27.3,0.0,ID,2018,2
8,59,48.9,41,36,34.0,32,73,58.1,36,12,6.8,0,27.3,27.2,27.1,0.0,ID,2018,2
9,50,43.3,36,32,26.9,21,73,54.0,36,21,8.5,0,27.1,27.1,27.0,0.0,ID,2018,2
10,44,35.2,27,24,19.3,14,75,54.5,30,22,11.9,0,27.2,27.1,27.0,0.0,ID,2018,2
11,43,33.8,27,22,16.6,12,67,50.7,28,18,9.5,0,27.2,26.9,26.8,0.0,ID,2018,2
12,45,34.0,26,28,22.3,16,92,65.8,33,16,7.6,0,27.2,27.0,26.8,0.0,ID,2018,2
13,43,31.8,20,23,19.0,13,81,60.9,40,12,5.8,0,27.3,27.3,27.2,0.0,ID,2018,2
14,42,34.5,32,34,29.3,21,100,83.8,45,21,7.3,0,27.1,27.0,27.0,0.0,ID,2018,2
15,41,33.3,30,32,24.7,0,100,73.0,0,14,7.0,0,27.4,27.3,27.1,0.26,ID,2018,2
16,40,33.0,26,26,21.3,18,75,63.2,46,14,6.6,0,27.4,27.3,27.2,0.0,ID,2018,2
17,53,41.5,32,32,28.8,26,79,62.1,43,21,12.2,3,27.2,27.0,26.7,0.0,ID,2018,2
18,44,35.6,26,32,24.5,17,85,66.0,38,25,10.6,0,26.7,26.7,26.7,0.0,ID,2018,2
19,32,24.0,15,20,12.7,1,88,64.6,31,24,11.9,0,27.0,26.8,26.7,0.0,ID,2018,2
20,27,20.0,10,5,2.4,0,70,48.6,33,12,6.1,0,27.2,27.1,27.1,0.0,ID,2018,2
21,36,28.9,23,21,10.3,4,64,46.7,35,14,7.5,0,27.2,27.1,27.0,0.0,ID,2018,2
22,33,26.4,17,26,21.7,12,93,83.0,54,13,6.4,0,27.1,27.0,27.0,0.08,ID,2018,2
23,30,21.7,10,14,11.0,6,84,64.9,43,16,6.9,0,27.3,27.2,27.1,0.16,ID,2018,2
24,32,27.7,23,29,23.0,12,93,82.9,60,17,11.1,3,27.2,27.0,26.9,0.0,ID,2018,2
25,36,28.7,16,27,23.1,11,89,80.1,61,22,11.0,3,27.2,27.1,26.9,0.14,ID,2018,2
26,38,31.8,23,31,23.7,15,96,73.7,46,21,12.0,0,27.1,26.9,26.9,0.03,ID,2018,2
27,34,24.0,14,14,11.6,6,84,61.3,32,9,4.4,0,27.2,27.1,27.1,0.01,ID,2018,2
28,39,31.3,24,21,16.0,11,65,53.6,45,20,13.8,9,27.1,27.1,27.0,0.0,ID,2018,2
1,47,37.9,32,32,24.1,0,92,58.1,0,24,20.5,15,27.0,26.8,26.6,0.01,ID,2018,3
2,44,38.3,33,32,23.1,12,85,56.7,29,25,11.2,0,26.9,26.8,26.6,0.06,ID,2018,3
3,40,34.7,27,31,24.4,16,85,67.0,48,14,8.4,0,27.0,26.9,26.9,0.02,ID,2018,3
4,42,31.1,23,29,23.3,18,96,74.5,47,15,5.8,0,27.3,27.1,27.0,0.02,ID,2018,3
5,46,35.0,26,23,20.5,19,75,57.3,37,12,7.5,0,27.3,27.3,27.3,0.02,ID,2018,3
6,50,38.0,29,22,18.5,17,61,47.0,28,17,11.5,8,27.3,27.3,27.3,0.0,ID,2018,3
7,55,39.3,26,25,20.7,16,75,50.0,24,15,7.5,0,27.3,27.2,27.0,0.0,ID,2018,3
8,58,47.0,36,31,25.9,21,59,44.9,30,15,9.5,3,27.0,27.0,26.9,0.0,ID,2018,3
9,53,45.4,38,40,33.3,29,80,63.1,44,15,7.9,0,27.0,27.0,26.9,0.0,ID,2018,3
10,57,44.1,31,32,27.8,21,89,57.3,29,14,8.1,0,27.1,27.1,27.0,0.08,ID,2018,3
11,59,47.8,40,30,26.7,24,65,45.8,27,9,4.3,0,27.2,27.2,27.1,0.0,ID,2018,3
12,62,48.7,37,33,28.1,24,70,47.4,27,14,9.0,0,27.3,27.2,27.1,0.0,ID,2018,3
13,68,53.8,38,45,31.1,26,77,45.4,23,25,17.9,9,27.1,26.9,26.8,0.0,ID,2018,3
14,54,45.8,39,45,39.3,33,97,79.3,52,22,9.2,0,26.9,26.8,26.8,0.44,ID,2018,3
15,50,41.3,37,37,31.2,22,93,70.4,33,12,6.6,0,26.9,26.8,26.8,0.22,ID,2018,3
16,49,41.5,36,32,30.4,26,86,65.4,50,18,13.4,6,26.9,26.8,26.7,0.0,ID,2018,3
17,45,37.1,34,32,30.8,26,89,79.0,48,13,4.9,0,27.0,26.8,26.7,0.02,ID,2018,3
18,49,39.7,36,32,29.5,24,86,69.1,38,10,4.7,0,27.2,27.1,27.0,0.07,ID,2018,3
19,52,43.3,34,28,26.1,24,76,53.0,34,13,7.1,3,27.2,27.1,27.1,0.0,ID,2018,3
20,51,45.6,40,35,30.6,27,71,56.4,48,13,7.1,0,27.1,27.1,26.9,0.0,ID,2018,3
21,60,51.6,43,45,36.9,28,80,58.3,44,25,16.0,8,26.9,26.9,26.8,0.0,ID,2018,3
22,57,50.9,42,50,43.5,34,89,76.3,57,20,12.4,0,26.9,26.8,26.7,0.14,ID,2018,3
23,52,43.7,34,36,31.6,27,92,64.9,41,13,5.4,0,27.0,26.9,26.8,0.37,ID,2018,3
24,48,42.5,38,30,20.4,14,62,42.7,26,20,6.5,0,27.0,26.9,26.8,0.0,ID,2018,3
25,43,35.2,32,32,30.2,24,100,83.5,51,15,4.4,0,27.1,27.0,26.9,0.0,ID,2018,3
26,47,37.5,28,28,23.6,19,85,60.6,33,18,6.5,0,27.3,27.2,27.1,0.33,ID,2018,3
27,56,44.0,31,36,28.2,22,69,55.0,40,12,6.5,0,27.3,27.3,27.2,0.0,ID,2018,3
28,58,48.9,39,37,30.5,24,79,52.9,27,20,10.3,0,27.3,27.2,27.1,0.0,ID,2018,3
29,57,40.0,0,32,25.2,0,76,44.4,0,13,6.8,0,27.3,27.2,27.2,0.0,ID,2018,3
30,64,52.1,40,33,30.7,28,68,46.8,26,9,4.8,0,27.2,27.1,27.1,0.0,ID,2018,3
31,60,52.0,43,37,34.0,27,71,51.6,34,17,6.8,0,27.1,27.1,27.0,0.0,ID,2018,3
1,59,49.0,36,39,33.7,31,83,58.1,39,8,3.4,0,27.0,26.9,26.7,0.0,ID,2018,4
2,54,41.3,32,39,23.6,12,86,52.4,28,26,17.5,6,27.1,26.9,26.7,0.03,ID,2018,4
3,53,42.2,30,21,16.0,9,64,38.6,18,16,11.0,5,27.2,27.1,27.0,0.0,ID,2018,4
4,62,51.4,42,37,30.5,24,55,45.3,32,10,4.0,0,27.1,27.1,27.0,0.0,ID,2018,4
5,60,53.6,48,48,38.5,26,89,57.6,39,8,2.9,0,27.1,27.0,26.9,0.0,ID,2018,4
6,59,51.8,48,47,44.9,41,93,78.8,53,7,2.0,0,27.0,26.9,26.9,0.21,ID,2018,4
7,63,55.4,50,51,42.6,27,86,64.5,27,37,15.4,3,26.9,26.7,26.6,0.03,ID,2018,4
8,55,50.1,42,36,33.3,30,76,52.9,40,18,8.0,0,27.2,27.0,26.9,0.15,ID,2018,4
9,62,48.7,35,35,31.7,26,89,57.1,26,12,5.0,0,27.3,27.3,27.2,0.01,ID,2018,4
10,69,55.7,46,42,35.6,30,61,48.1,30,20,11.8,5,27.2,27.0,26.9,0.0,ID,2018,4
11,63,54.3,43,41,37.3,33,89,55.9,34,22,7.3,0,27.0,26.8,26.6,0.0,ID,2018,4
12,53,41.6,33,42,30.5,21,96,68.3,32,25,14.5,6,27.1,26.8,26.6,0.0,ID,2018,4
13,53,44.9,35,35,28.7,25,76,55.0,35,14,6.7,0,27.4,27.3,27.2,0.15,ID,2018,4
14,60,52.4,45,39,32.1,22,74,48.5,23,13,6.6,3,27.3,27.2,27.1,0.0,ID,2018,4
15,68,58.4,47,38,32.7,29,63,40.2,23,20,11.5,3,27.0,26.8,26.6,0.0,ID,2018,4
16,56,46.3,39,42,30.6,21,90,57.2,32,14,6.7,0,26.9,26.8,26.6,0.2,ID,2018,4
17,53,42.1,33,28,23.1,18,82,50.4,26,18,7.5,0,27.2,27.1,26.9,0.0,ID,2018,4
18,62,50.5,37,29,21.4,18,59,34.7,19,20,11.8,6,27.2,27.1,27.0,0.0,ID,2018,4
19,68,54.8,43,35,30.0,27,74,42.8,22,25,11.3,0,27.0,27.0,26.9,0.0,ID,2018,4
20,68,54.8,42,34,29.3,23,62,40.7,20,22,11.5,0,27.1,27.1,27.0,0.0,ID,2018,4
21,70,57.7,45,35,33.4,32,61,42.3,26,15,8.8,3,27.2,27.1,27.1,0.0,ID,2018,4
22,65,52.6,41,33,27.3,21,54,39.3,21,22,11.5,3,27.2,27.1,27.0,0.0,ID,2018,4
23,64,51.5,38,30,27.2,25,60,41.0,26,20,11.8,5,27.2,27.2,27.1,0.0,ID,2018,4
24,68,55.8,44,38,32.7,28,71,44.8,22,15,8.6,3,27.4,27.3,27.2,0.0,ID,2018,4
25,76,60.3,45,36,32.1,25,58,37.6,16,14,6.6,0,27.2,27.2,27.1,0.0,ID,2018,4
26,81,64.3,48,41,34.4,31,56,36.3,17,14,7.5,0,27.2,27.1,27.0,0.0,ID,2018,4
27,90,69.5,51,44,36.2,26,57,33.3,10,20,9.8,0,27.0,26.8,26.7,0.0,ID,2018,4
28,66,59.9,50,45,34.0,26,62,39.8,23,17,10.7,0,26.9,26.9,26.8,0.0,ID,2018,4
29,58,50.3,45,41,36.8,32,74,61.0,37,20,10.4,3,26.9,26.9,26.9,0.0,ID,2018,4
30,59,48.5,38,40,35.3,31,86,62.6,35,20,11.3,6,27.0,26.9,26.9,0.0,ID,2018,4
1,64,51.8,38,35,33.1,31,79,52.4,30,18,9.0,0,26.9,26.9,26.9,0.0,ID,2018,5
2,69,54.2,36,36,33.1,30,86,49.5,25,21,8.0,0,27.1,27.0,26.9,0.0,ID,2018,5
3,74,58.9,42,37,34.6,29,73,43.8,20,13,5.8,0,27.2,27.1,27.0,0.0,ID,2018,5
4,81,61.4,0,43,35.6,0,59,35.9,0,9,4.8,0,27.2,27.2,27.1,0.0,ID,2018,5
5,80,67.9,55,45,42.0,39,59,40.4,25,12,6.0,0,27.1,27.1,27.0,0.0,ID,2018,5
6,82,68.3,53,49,44.2,41,74,44.9,24,18,9.3,0,27.1,27.0,26.9,0.0,ID,2018,5
7,78,64.2,48,44,40.8,37,71,45.2,23,17,6.6,0,27.2,27.1,27.1,0.0,ID,2018,5
8,84,69.3,52,45,41.3,36,69,40.4,20,9,3.4,0,27.2,27.1,26.9,0.0,ID,2018,5
9,76,68.7,59,51,47.0,42,69,47.6,31,18,7.8,0,27.0,27.0,26.9,0.0,ID,2018,5
10,68,58.3,49,47,41.8,33,83,57.0,30,25,10.7,0,27.0,26.9,26.9,0.0,ID,2018,5
11,58,49.9,43,46,40.0,33,86,69.7,49,21,10.8,0,27.0,26.9,26.9,0.0,ID,2018,5
12,64,53.8,45,48,43.5,40,90,69.8,45,17,6.6,0,26.9,26.9,26.9,0.19,ID,2018,5
13,67,55.8,49,49,46.5,43,93,72.7,45,26,8.2,0,27.1,27.0,27.0,0.09,ID,2018,5
14,77,62.4,47,50,42.9,34,89,54.8,23,10,4.8,0,27.1,27.0,27.0,0.17,ID,2018,5
15,77,65.1,56,53,46.7,42,72,53.0,31,20,10.3,3,27.0,27.0,26.9,0.0,ID,2018,5
16,76,64.3,56,54,44.9,0,93,53.3,0,26,8.9,0,27.0,26.9,26.9,0.13,ID,2018,5
17,69,61.1,55,54,51.0,0,96,72.5,0,15,5.3,0,27.0,26.9,26.9,0.3,ID,2018,5
18,75,63.6,55,54,48.7,37,90,62.9,26,14,5.3,0,27.0,26.9,26.9,0.0,ID,2018,5
19,78,65.1,52,48,46.0,40,83,53.8,25,9,5.7,0,27.0,26.9,26.9,0.0,ID,2018,5
20,71,63.3,57,57,51.4,45,89,66.2,51,13,6.8,0,27.0,26.9,26.9,0.0,ID,2018,5
21,77,66.0,54,55,52.4,49,93,65.3,37,12,3.9,0,27.0,26.9,26.9,0.11,ID,2018,5
22,79,67.3,55,53,50.3,44,84,57.3,29,21,6.5,0,26.9,26.9,26.8,0.0,ID,2018,5
23,80,67.7,60,59,51.9,46,87,59.8,30,21,6.6,0,26.9,26.9,26.8,0.0,ID,2018,5
24,84,70.8,57,56,51.6,46,90,55.5,28,18,6.2,0,27.1,27.0,26.9,0.05,ID,2018,5
25,87,70.2,60,55,50.6,37,72,52.3,17,28,8.5,0,27.0,26.9,26.7,0.0,ID,2018,5
26,72,62.0,55,57,51.4,48,90,69.7,44,20,9.8,0,27.0,26.9,26.9,0.0,ID,2018,5
27,82,65.2,50,59,42.0,0,90,50.6,0,22,10.2,0,27.1,27.0,26.9,0.05,ID,2018,5
28,83,66.9,58,59,51.9,0,97,66.5,0,15,5.4,0,27.1,27.0,26.9,0.22,ID,2018,5
29,84,70.5,54,51,43.1,37,75,41.3,19,14,5.9,0,27.0,26.9,26.8,0.0,ID,2018,5
30,79,64.6,52,58,48.3,37,84,57.7,33,28,8.5,0,26.9,26.8,26.7,0.0,ID,2018,5
31,68,60.2,54,53,48.0,42,83,65.4,43,17,8.4,0,26.9,26.8,26.7,0.02,ID,2018,5
1,69,58.0,45,44,35.9,32,80,46.8,25,14,8.3,3,27.2,27.1,27.0,0.0,ID,2018,6
2,82,67.4,51,41,36.2,32,57,35.0,17,10,5.9,0,27.3,27.2,27.1,0.0,ID,2018,6
3,91,76.4,59,45,40.8,35,53,30.8,14,14,9.7,3,27.1,27.0,26.9,0.0,ID,2018,6
4,87,74.3,59,49,46.0,41,69,38.5,24,21,9.1,0,27.0,26.9,26.8,0.0,ID,2018,6
5,81,68.5,54,45,39.6,36,57,37.3,21,15,7.8,3,27.0,26.9,26.9,0.0,ID,2018,6
6,90,72.3,56,48,43.1,34,62,38.2,14,13,6.1,0,26.9,26.9,26.8,0.0,ID,2018,6
7,86,73.0,64,58,49.0,44,73,44.7,26,20,8.5,0,27.0,26.9,26.8,0.0,ID,2018,6
8,89,73.1,56,54,49.1,40,87,49.0,18,14,5.0,0,27.1,27.0,26.8,0.03,ID,2018,6
9,77,65.7,53,49,45.1,41,74,48.6,29,30,10.7,0,27.0,26.9,26.8,0.0,ID,2018,6
10,64,53.9,45,42,32.8,24,86,49.8,24,20,7.6,0,27.1,27.1,27.0,0.02,ID,2018,6
11,70,61.2,53,39,32.0,24,55,35.5,19,18,7.4,0,27.1,27.1,27.0,0.0,ID,2018,6
12,83,66.0,47,31,26.0,13,52,27.1,7,13,5.1,0,27.2,27.1,26.9,0.0,ID,2018,6
13,91,74.9,59,45,36.2,30,39,25.8,16,15,8.2,0,26.9,26.9,26.7,0.0,ID,2018,6
14,75,65.4,54,45,35.6,23,53,35.6,16,18,12.8,0,27.0,26.9,26.8,0.0,ID,2018,6
15,76,66.3,55,45,39.6,33,59,39.1,23,10,5.9,0,26.9,26.8,26.8,0.0,ID,2018,6
16,77,66.4,54,45,39.8,32,64,40.6,21,9,4.5,0,26.8,26.8,26.8,0.0,ID,2018,6
17,63,55.5,52,54,50.5,42,100,84.5,46,16,8.1,0,26.9,26.9,26.8,0.0,ID,2018,6
18,74,64.0,55,53,50.9,48,93,64.7,42,15,7.2,0,27.1,27.0,26.9,0.21,ID,2018,6
19,78,66.0,55,53,51.0,45,84,61.6,32,10,5.4,0,27.1,27.1,27.1,0.0,ID,2018,6
20,86,73.7,58,53,48.6,41,81,46.0,20,13,7.3,0,27.1,27.1,26.9,0.0,ID,2018,6
21,81,71.9,60,56,52.2,48,86,52.9,32,17,10.8,0,27.1,27.0,27.0,0.0,ID,2018,6
22,89,75.4,60,53,49.8,44,75,44.8,22,20,6.5,0,27.1,27.0,26.9,0.0,ID,2018,6
23,79,70.0,59,52,43.8,40,55,40.3,26,21,13.5,7,27.0,27.0,27.0,0.0,ID,2018,6
24,86,72.3,53,47,45.2,41,71,41.1,22,10,5.8,0,27.1,27.1,27.0,0.0,ID,2018,6
25,94,79.3,65,50,46.2,42,52,33.3,17,21,12.2,3,27.0,26.9,26.8,0.0,ID,2018,6
26,83,69.8,56,42,34.8,20,55,31.7,10,17,11.8,0,27.1,27.0,27.0,0.0,ID,2018,6
27,92,75.9,57,46,37.4,32,44,26.8,16,12,6.3,0,27.0,26.9,26.8,0.0,ID,2018,6
28,81,71.2,61,45,39.3,36,44,32.2,24,18,13.8,6,26.9,26.9,26.8,0.0,ID,2018,6
29,78,61.9,0,44,37.1,0,64,36.5,0,16,10.1,0,27.1,27.0,27.0,0.0,ID,2018,6
30,82,69.2,54,47,40.6,35,67,38.8,19,16,6.9,0,27.2,27.1,27.1,0.0,ID,2018,6
1,84,72.0,56,51,44.1,39,62,39.1,21,16,7.8,0,27.1,27.1,27.0,0.0,ID,2018,7
2,81,66.6,0,44,33.6,0,48,29.4,0,21,11.6,0,27.1,27.0,26.9,0.0,ID,2018,7
3,74,63.3,50,37,32.2,29,61,33.7,19,17,10.8,0,27.1,27.0,27.0,0.0,ID,2018,7
4,96,75.1,57,49,35.6,30,44,26.9,10,13,7.3,0,27.1,27.0,26.9,0.0,ID,2018,7
5,101,83.1,68,46,41.4,34,39,25.3,10,13,6.6,0,27.1,27.0,26.9,0.0,ID,2018,7
6,94,80.8,68,46,37.6,25,36,23.1,10,20,8.5,0,27.2,27.2,27.1,0.0,ID,2018,7
7,95,81.5,68,48,41.6,38,38,25.7,14,10,5.0,0,27.1,27.1,27.0,0.0,ID,2018,7
8,97,80.9,65,50,43.4,32,52,30.8,10,16,5.9,0,27.1,27.0,26.9,0.0,ID,2018,7
9,101,83.9,67,46,40.7,34,38,24.0,10,12,5.3,0,27.1,27.0,26.9,0.0,ID,2018,7
10,90,79.0,67,46,39.5,34,40,25.6,14,20,11.3,0,27.1,27.1,26.9,0.0,ID,2018,7
11,90,75.6,59,48,41.5,31,60,33.6,13,17,8.0,0,27.1,27.1,27.0,0.0,ID,2018,7
12,93,76.9,60,49,43.4,33,64,34.7,13,15,6.0,0,27.1,27.1,27.0,0.0,ID,2018,7
13,97,82.0,64,47,38.8,22,45,25.0,7,13,6.3,0,27.1,27.1,27.0,0.0,ID,2018,7
14,99,84.0,67,47,41.3,29,40,24.4,9,17,8.6,3,27.1,27.0,27.0,0.0,ID,2018,7
15,97,80.8,65,50,46.2,40,47,31.3,18,16,5.7,0,27.1,27.0,27.0,0.0,ID,2018,7
16,98,83.4,71,58,49.4,44,59,32.6,17,25,7.8,0,27.1,27.0,27.0,0.0,ID,2018,7
17,98,82.4,65,55,45.4,36,61,32.2,12,14,5.3,0,27.1,27.1,27.0,0.13,ID,2018,7
18,98,84.8,68,45,37.5,26,39,21.0,8,16,8.9,3,27.1,27.0,27.0,0.0,ID,2018,7
19,97,81.0,63,46,38.9,33,44,24.6,11,14,6.5,0,27.1,27.0,26.9,0.0,ID,2018,7
20,98,80.8,64,48,37.3,26,46,24.2,8,14,6.8,3,27.0,27.0,26.9,0.0,ID,2018,7
21,95,78.8,60,41,34.6,28,39,23.1,9,12,6.3,0,27.1,27.0,26.9,0.0,ID,2018,7
22,93,77.4,61,39,31.6,19,39,22.0,7,14,7.7,0,27.2,27.1,27.1,0.0,ID,2018,7
23,100,82.8,62,45,33.2,24,26,17.6,9,12,4.9,0,27.2,27.1,27.0,0.0,ID,2018,7
24,102,87.5,71,49,44.5,42,35,23.5,14,13,7.0,0,27.1,27.1,27.0,0.0,ID,2018,7
25,100,86.3,70,52,43.2,36,43,24.3,11,14,6.8,0,27.2,27.1,27.0,0.0,ID,2018,7
26,100,83.5,67,49,41.2,34,44,25.3,11,15,6.0,0,27.1,27.1,27.0,0.0,ID,2018,7
27,99,83.7,67,48,38.0,32,46,22.0,10,13,6.8,0,27.1,27.0,26.9,0.0,ID,2018,7
28,98,83.3,68,43,36.8,31,39,20.7,10,14,7.4,0,27.1,27.0,26.9,0.0,ID,2018,7
29,97,84.1,64,45,38.1,30,42,21.6,9,13,5.0,0,27.1,27.1,27.0,0.0,ID,2018,7
30,99,85.1,70,46,40.1,37,31,21.4,12,10,6.2,0,27.1,27.1,27.0,0.0,ID,2018,7
31,97,86.5,76,51,44.2,41,30,23.4,16,10,6.5,0,27.1,27.0,26.9,0.0,ID,2018,7
1,100,85.7,73,54,46.2,40,38,26.5,15,9,6.6,0,27.0,26.9,26.9,0.0,ID,2018,8
2,94,80.9,67,48,40.3,36,44,25.4,13,13,6.2,0,27.0,26.9,26.9,0.0,ID,2018,8
3,88,75.9,62,46,34.3,27,47,24.8,11,17,8.4,0,27.0,27.0,26.9,0.0,ID,2018,8
4,87,72.3,57,44,39.3,33,57,33.3,16,16,6.5,0,27.0,27.0,26.9,0.0,ID,2018,8
5,89,75.3,61,45,38.7,30,52,29.8,12,14,6.4,0,27.1,27.0,26.9,0.0,ID,2018,8
6,93,78.5,63,43,37.7,31,42,25.0,11,12,6.4,0,27.2,27.1,27.1,0.0,ID,2018,8
7,96,79.4,63,44,38.6,35,41,24.9,12,14,6.6,0,27.1,27.1,27.0,0.0,ID,2018,8
8,101,85.1,68,41,37.3,31,33,19.8,9,12,6.3,0,27.1,27.0,27.0,0.0,ID,2018,8
9,105,87.7,69,51,40.4,36,32,20.3,10,10,5.5,0,27.1,27.0,27.0,0.0,ID,2018,8
10,108,91.1,76,49,38.5,28,31,18.3,6,15,6.7,0,27.0,27.0,26.9,0.0,ID,2018,8
11,103,90.2,71,48,41.5,34,32,19.6,9,16,5.5,0,27.0,26.9,26.9,0.0,ID,2018,8
12,87,74.5,63,47,42.4,29,50,34.0,13,14,9.7,0,27.1,27.1,27.0,0.0,ID,2018,8
13,93,75.3,58,45,40.5,34,58,32.5,13,15,7.0,0,27.1,27.0,26.9,0.0,ID,2018,8
14,94,76.5,60,46,42.3,37,52,32.6,14,15,5.2,0,27.0,27.0,26.9,0.0,ID,2018,8
15,97,80.5,63,45,36.2,27,32,21.2,13,12,6.5,0,27.0,27.0,26.9,0.0,ID,2018,8
16,98,83.8,71,44,40.0,37,30,22.1,12,12,6.7,0,27.1,27.0,27.0,0.0,ID,2018,8
17,92,82.1,73,46,43.6,37,33,26.4,17,12,6.9,0,27.1,27.1,27.1,0.0,ID,2018,8
18,90,76.4,63,47,41.1,37,50,30.2,15,14,6.5,0,27.2,27.1,27.1,0.0,ID,2018,8
19,96,80.0,66,44,39.5,30,42,25.9,10,17,9.5,0,27.1,27.0,26.9,0.0,ID,2018,8
20,89,75.9,62,48,42.5,37,54,32.3,18,26,9.9,0,27.0,26.9,26.9,0.0,ID,2018,8
21,81,69.2,56,49,46.0,43,69,45.9,28,13,6.0,0,27.1,27.1,27.0,0.0,ID,2018,8
22,86,72.5,59,48,42.5,36,54,36.1,18,10,4.9,0,27.1,27.0,26.9,0.0,ID,2018,8
23,88,74.5,59,43,38.2,33,44,28.3,16,9,5.3,0,27.1,27.0,26.9,0.0,ID,2018,8
24,83,71.7,59,41,35.7,29,43,28.4,16,14,6.5,0,27.0,26.9,26.9,0.0,ID,2018,8
25,85,73.2,53,42,36.6,31,59,29.5,16,15,7.3,0,27.0,26.9,26.9,0.0,ID,2018,8
26,72,66.7,56,43,38.9,32,49,36.7,23,16,8.1,0,27.0,26.9,26.9,0.0,ID,2018,8
27,72,63.4,56,50,43.8,39,80,50.4,32,16,9.4,0,27.1,27.0,26.9,0.0,ID,2018,8
