day,temperature_max,temperature_avg,temperature_min,dew_point_max,dew_point_avg,dew_point_min,humidity_max,humidity_avg,humidity_min,wind_speed_max,wind_speed_avg,wind_speed_min,preasure_max,preasure_avg,preasure_min,precipitation,state,year,month
1,44,27.5,8,11,8.6,5,87,50.3,24,15,4.4,0,24.0,23.9,23.9,0.0,NM,2018,1
2,51,33.3,15,12,4.8,-4,74,34.5,13,18,9.3,3,24.0,23.9,23.9,0.0,NM,2018,1
3,49,32.7,20,3,-1.5,-6,37,24.6,13,16,7.6,0,24.0,24.0,23.9,0.0,NM,2018,1
4,50,31.6,20,6,-1.0,-6,46,27.2,10,17,9.3,0,23.9,23.9,23.9,0.0,NM,2018,1
5,47,34.1,22,12,1.0,-3,40,26.0,15,14,8.8,0,24.0,23.9,23.9,0.0,NM,2018,1
6,53,40.8,25,23,18.6,11,55,41.8,27,15,6.0,0,24.0,23.9,23.7,0.0,NM,2018,1
7,52,41.1,33,34,29.4,21,93,65.5,40,13,7.8,0,23.9,23.8,23.7,0.0,NM,2018,1
8,49,37.4,27,28,25.2,22,92,64.0,41,17,8.4,0,23.9,23.9,23.9,0.0,NM,2018,1
9,55,39.1,27,28,24.0,21,78,57.7,31,12,6.5,0,23.9,23.8,23.6,0.0,NM,2018,1
10,46,37.1,28,39,30.6,25,100,78.5,50,26,10.8,0,23.6,23.5,23.4,0.0,NM,2018,1
11,45,33.7,22,31,22.4,16,100,67.3,36,13,4.8,0,23.9,23.8,23.6,0.0,NM,2018,1
12,50,34.2,21,22,18.3,14,78,55.4,31,12,6.0,0,24.0,23.9,23.9,0.0,NM,2018,1
13,47,32.7,17,22,18.6,14,88,59.3,34,14,6.5,0,24.1,24.0,24.0,0.0,NM,2018,1
14,53,35.8,23,20,17.0,14,74,50.4,23,14,7.0,0,24.1,24.0,23.9,0.0,NM,2018,1
15,45,29.3,18,24,18.6,14,86,67.2,34,25,15.8,3,24.1,23.9,23.9,0.0,NM,2018,1
16,32,22.0,12,16,14.3,8,88,73.6,52,18,6.8,0,24.1,24.1,24.0,0.0,NM,2018,1
17,41,24.3,12,17,13.2,9,92,65.8,38,15,8.2,0,24.0,24.0,23.9,0.0,NM,2018,1
18,53,31.8,18,16,10.0,4,71,44.9,14,20,10.9,0,24.0,23.9,23.9,0.0,NM,2018,1
19,54,38.6,23,15,12.9,9,60,37.1,22,13,7.5,0,23.8,23.8,23.7,0.0,NM,2018,1
20,55,41.5,21,33,15.5,11,86,38.8,19,28,7.6,0,23.7,23.6,23.5,0.0,NM,2018,1
21,36,26.8,17,33,23.3,11,100,87.4,58,22,12.2,0,23.7,23.6,23.5,0.0,NM,2018,1
22,38,23.2,13,14,11.2,9,84,62.6,35,20,9.1,0,23.9,23.8,23.7,0.0,NM,2018,1
23,43,25.3,13,13,9.9,7,77,57.2,23,21,11.4,0,24.0,23.9,23.9,0.0,NM,2018,1
24,48,28.7,16,14,10.9,7,74,51.9,20,17,8.8,0,24.0,24.0,23.9,0.0,NM,2018,1
25,48,31.8,18,12,8.3,4,68,42.8,17,17,8.2,0,23.9,23.8,23.7,0.0,NM,2018,1
26,47,31.8,18,14,5.0,-12,68,35.6,16,24,10.0,0,23.9,23.8,23.7,0.0,NM,2018,1
27,44,26.5,13,7,1.5,-3,51,36.1,20,15,8.0,0,24.0,24.0,23.9,0.0,NM,2018,1
28,55,33.7,13,9,2.9,-3,62,30.3,13,22,10.0,0,24.1,24.0,24.0,0.0,NM,2018,1
29,53,34.9,20,12,9.0,7,60,37.5,16,15,7.5,0,24.2,24.1,24.0,0.0,NM,2018,1
30,54,38.3,25,14,11.5,9,58,35.8,18,13,7.1,0,24.0,23.9,23.8,0.0,NM,2018,1
31,60,43.5,26,17,9.5,-3,58,29.3,8,14,9.3,0,23.8,23.8,23.7,0.0,NM,2018,1
1,64,44.2,24,22,12.6,5,49,30.3,15,18,6.3,0,24.0,23.9,23.8,0.0,NM,2018,2
2,59,43.0,28,22,19.3,18,66,41.5,20,18,7.9,0,24.0,23.9,23.8,0.0,NM,2018,2
3,60,42.8,30,26,21.3,18,72,46.2,20,12,5.9,0,23.8,23.8,23.7,0.0,NM,2018,2
4,62,44.9,30,23,19.9,17,66,40.1,20,20,8.8,0,23.8,23.8,23.8,0.0,NM,2018,2
5,63,43.7,27,20,15.2,8,66,35.9,11,20,5.3,0,23.8,23.7,23.7,0.0,NM,2018,2
6,53,39.4,26,28,17.6,10,81,44.8,23,23,10.8,0,23.9,23.7,23.7,0.0,NM,2018,2
7,51,34.7,17,20,13.0,8,81,45.9,19,15,7.4,0,24.0,24.0,23.9,0.0,NM,2018,2
8,56,40.8,25,18,14.8,9,54,37.2,22,18,10.6,3,24.0,23.9,23.9,0.0,NM,2018,2
9,61,44.9,31,20,16.7,11,54,34.8,18,21,7.9,0,23.9,23.8,23.7,0.0,NM,2018,2
10,62,47.8,34,29,15.3,11,73,30.1,13,28,13.9,0,23.7,23.6,23.4,0.0,NM,2018,2
11,40,30.6,21,28,20.4,9,93,68.6,28,17,8.3,0,23.8,23.7,23.6,0.0,NM,2018,2
12,50,38.3,25,25,20.5,17,72,50.0,36,26,17.9,8,23.8,23.7,23.7,0.0,NM,2018,2
13,55,41.1,25,21,17.5,12,72,42.0,18,13,6.3,0,23.9,23.9,23.8,0.0,NM,2018,2
14,55,41.8,28,40,24.8,15,100,57.4,25,14,6.9,0,23.9,23.9,23.8,0.0,NM,2018,2
15,45,38.8,32,40,37.0,31,100,93.7,73,16,7.2,0,23.9,23.8,23.8,0.35,NM,2018,2
16,40,34.4,27,33,30.1,27,100,85.3,67,14,6.8,0,24.0,23.9,23.8,0.05,NM,2018,2
17,52,40.8,29,33,23.7,19,100,54.8,27,17,8.1,0,23.9,23.9,23.8,0.0,NM,2018,2
18,55,43.9,29,37,31.1,24,96,64.1,39,28,11.8,3,23.8,23.6,23.5,0.0,NM,2018,2
19,56,45.8,31,35,29.8,23,100,56.9,34,31,19.1,0,23.5,23.4,23.4,0.0,NM,2018,2
20,35,29.4,21,30,18.1,13,100,65.3,42,16,8.7,0,23.8,23.7,23.5,0.0,NM,2018,2
21,44,32.1,23,23,16.9,13,78,55.0,38,21,11.7,0,23.8,23.8,23.7,0.0,NM,2018,2
22,40,29.5,20,30,21.4,13,96,73.6,38,16,7.9,0,23.8,23.8,23.7,0.0,NM,2018,2
23,51,33.3,16,18,12.5,8,92,50.6,18,20,9.5,0,23.8,23.7,23.6,0.02,NM,2018,2
24,39,29.1,21,18,8.2,-3,85,46.0,19,23,11.2,0,23.7,23.7,23.6,0.0,NM,2018,2
25,41,28.6,17,18,7.4,0,74,45.3,18,17,8.5,0,23.9,23.8,23.7,0.0,NM,2018,2
26,51,34.9,17,9,5.8,2,62,34.1,13,16,9.7,3,23.9,23.8,23.7,0.0,NM,2018,2
27,56,40.6,22,8,1.6,-7,51,24.1,8,15,5.8,0,23.7,23.7,23.6,0.0,NM,2018,2
28,44,35.0,20,26,15.8,3,63,47.0,25,21,8.0,0,23.8,23.7,23.6,0.0,NM,2018,2
1,53,36.3,16,21,16.3,13,92,50.0,22,12,4.8,0,23.9,23.9,23.8,0.0,NM,2018,3
2,58,40.8,21,18,11.5,5,75,36.7,12,16,7.9,3,23.9,23.9,23.8,0.0,NM,2018,3
3,63,45.5,26,14,8.8,-1,53,26.5,9,18,7.6,0,23.8,23.8,23.7,0.0,NM,2018,3
4,63,44.9,26,18,5.5,-7,46,23.9,6,29,14.3,0,23.8,23.7,23.6,0.0,NM,2018,3
5,47,33.0,19,8,-8.8,-15,40,18.9,7,20,10.4,3,23.9,23.8,23.8,0.0,NM,2018,3
6,51,34.1,20,-4,-6.2,-8,33,19.8,9,17,8.9,0,23.9,23.9,23.9,0.0,NM,2018,3
7,55,38.9,15,-3,-6.2,-11,43,18.1,7,14,6.9,0,23.9,23.9,23.8,0.0,NM,2018,3
8,66,47.5,30,10,2.7,-7,33,18.2,7,13,8.0,0,23.9,23.8,23.7,0.0,NM,2018,3
9,64,48.2,33,13,7.2,-4,40,21.6,7,16,10.7,0,23.7,23.7,23.6,0.0,NM,2018,3
10,65,50.9,33,22,10.0,5,35,20.9,11,20,9.8,0,23.8,23.7,23.7,0.0,NM,2018,3
11,47,35.4,33,34,29.5,17,100,83.4,37,21,9.4,0,24.0,23.9,23.8,0.0,NM,2018,3
12,49,38.4,32,37,34.1,32,100,85.9,61,13,4.5,0,24.0,23.9,23.9,0.12,NM,2018,3
13,57,44.6,29,35,29.5,25,100,61.6,29,17,10.3,3,23.9,23.9,23.9,0.0,NM,2018,3
14,64,50.3,37,31,27.1,24,60,42.5,25,16,8.6,0,23.9,23.8,23.7,0.0,NM,2018,3
15,59,43.9,34,33,28.8,24,89,58.3,26,28,11.9,0,23.7,23.6,23.5,0.0,NM,2018,3
16,55,41.1,29,25,16.7,9,78,42.7,16,21,9.9,0,23.7,23.7,23.6,0.0,NM,2018,3
17,59,45.5,31,20,14.3,4,57,32.3,11,17,9.5,0,23.7,23.7,23.6,0.0,NM,2018,3
18,50,35.5,26,29,21.7,13,92,61.2,27,37,16.5,0,23.7,23.6,23.6,0.0,NM,2018,3
19,51,35.5,21,19,13.7,6,75,45.1,21,22,9.4,0,23.8,23.7,23.7,0.0,NM,2018,3
20,56,39.6,19,13,8.3,6,62,31.6,15,18,7.7,0,23.8,23.8,23.7,0.0,NM,2018,3
21,66,49.1,33,19,12.5,6,38,25.2,12,16,9.0,0,23.9,23.8,23.8,0.0,NM,2018,3
22,74,55.8,37,29,25.1,20,52,32.7,18,18,9.6,0,23.9,23.9,23.8,0.0,NM,2018,3
23,68,55.1,41,33,25.2,8,52,33.2,18,30,11.9,0,23.8,23.8,23.7,0.0,NM,2018,3
24,65,51.9,33,26,21.9,19,64,34.0,18,18,9.5,0,23.8,23.7,23.7,0.0,NM,2018,3
25,62,51.4,27,24,19.3,9,69,31.2,16,21,7.8,0,23.7,23.7,23.6,0.0,NM,2018,3
26,58,49.1,38,34,17.3,9,70,31.8,18,22,8.3,0,23.7,23.6,23.6,0.0,NM,2018,3
27,53,34.8,28,35,31.4,23,100,90.8,32,30,11.1,0,23.8,23.7,23.7,0.0,NM,2018,3
28,54,36.2,28,36,29.9,25,100,82.9,35,18,8.6,0,23.8,23.7,23.6,0.19,NM,2018,3
29,61,45.4,30,31,21.7,15,85,45.3,18,18,10.5,5,23.9,23.8,23.7,0.0,NM,2018,3
30,64,47.8,31,28,21.6,17,72,40.3,16,23,9.6,0,23.9,23.9,23.8,0.0,NM,2018,3
31,71,53.3,39,23,18.2,13,51,28.5,11,20,7.6,0,23.9,23.8,23.8,0.0,NM,2018,3
1,65,53.4,41,23,19.3,15,40,27.6,16,16,7.6,0,23.8,23.7,23.7,0.0,NM,2018,4
2,70,55.6,36,22,13.9,8,57,23.0,9,25,13.8,0,23.7,23.6,23.5,0.0,NM,2018,4
3,65,53.9,39,21,3.8,-18,34,17.1,3,28,12.7,0,23.9,23.7,23.6,0.0,NM,2018,4
4,67,49.4,31,17,12.3,3,50,26.3,10,22,8.5,0,23.9,23.8,23.8,0.0,NM,2018,4
5,68,54.3,36,20,14.3,7,39,21.8,12,23,10.5,0,23.9,23.8,23.7,0.0,NM,2018,4
6,69,55.0,41,29,23.1,18,56,30.6,19,18,9.3,0,23.7,23.7,23.6,0.0,NM,2018,4
7,77,54.1,31,42,29.9,23,73,44.7,20,21,12.2,0,23.7,23.7,23.6,0.0,NM,2018,4
8,72,62.1,50,45,26.4,0,67,31.7,6,32,18.8,3,23.7,23.6,23.6,0.0,NM,2018,4
9,66,52.6,40,30,13.8,2,53,25.5,8,25,13.0,0,24.0,23.9,23.7,0.0,NM,2018,4
10,68,52.6,39,32,22.1,9,67,37.5,10,16,9.1,0,24.0,24.0,23.9,0.0,NM,2018,4
11,78,59.2,36,20,11.3,-2,43,18.9,4,22,10.2,0,23.9,23.8,23.7,0.0,NM,2018,4
12,76,60.3,46,15,8.9,-1,25,14.3,8,40,18.0,0,23.7,23.6,23.4,0.0,NM,2018,4
13,50,40.0,29,26,13.2,4,75,37.0,18,24,15.5,0,23.8,23.6,23.5,0.0,NM,2018,4
14,59,42.2,23,18,7.1,3,66,27.7,12,14,7.2,0,23.9,23.8,23.8,0.0,NM,2018,4
15,68,49.0,26,16,11.3,5,56,25.7,11,16,5.8,0,23.9,23.9,23.8,0.0,NM,2018,4
16,72,57.4,33,9,1.7,-5,31,12.9,5,15,7.3,0,23.8,23.8,23.7,0.0,NM,2018,4
17,73,57.6,42,11,1.9,-7,20,11.2,4,31,17.3,3,23.8,23.7,23.6,0.0,NM,2018,4
18,64,48.5,30,11,4.1,-6,38,19.0,6,22,11.4,0,23.9,23.9,23.8,0.0,NM,2018,4
19,66,54.2,45,25,16.3,11,32,23.0,14,40,28.4,17,24.0,23.9,23.7,0.0,NM,2018,4
20,59,50.0,41,37,19.4,-4,61,34.3,8,39,21.8,5,23.8,23.7,23.6,0.0,NM,2018,4
21,62,47.9,25,30,25.4,19,82,45.9,23,15,8.9,0,23.9,23.8,23.7,0.0,NM,2018,4
22,70,53.5,34,35,25.0,8,96,45.3,9,20,7.7,0,23.9,23.9,23.8,0.0,NM,2018,4
23,78,59.4,40,36,25.0,15,79,34.6,9,21,8.2,0,23.9,23.8,23.8,0.0,NM,2018,4
24,79,58.2,40,38,22.6,10,63,30.8,7,33,12.0,0,23.9,23.8,23.8,0.0,NM,2018,4
25,68,50.4,39,33,29.2,21,73,49.0,17,15,8.6,3,24.0,23.9,23.8,0.0,NM,2018,4
26,74,56.9,35,31,19.4,3,72,32.0,6,24,10.0,0,23.9,23.8,23.8,0.0,NM,2018,4
27,71,55.3,40,24,22.3,20,51,30.5,15,15,8.4,0,24.0,23.9,23.8,0.0,NM,2018,4
28,77,59.9,40,38,29.6,23,60,34.6,15,22,7.4,0,23.8,23.8,23.7,0.0,NM,2018,4
29,78,63.5,46,35,22.2,3,61,27.5,7,21,9.9,0,23.8,23.7,23.6,0.0,NM,2018,4
30,72,60.8,51,15,8.6,3,20,13.5,7,22,10.4,0,23.7,23.7,23.6,0.0,NM,2018,4
1,71,60.8,47,21,12.9,7,23,15.9,10,24,12.3,0,23.7,23.6,23.6,0.0,NM,2018,5
2,67,54.1,37,42,26.7,16,100,42.1,15,31,12.7,0,23.8,23.7,23.6,0.0,NM,2018,5
3,62,47.1,30,36,28.1,22,96,54.1,22,20,10.0,0,23.9,23.8,23.8,0.03,NM,2018,5
4,68,54.9,38,33,28.2,24,73,40.5,19,13,6.8,0,24.0,24.0,23.9,0.0,NM,2018,5
5,75,60.5,40,28,22.5,16,58,27.3,11,12,6.0,0,24.0,24.0,23.9,0.0,NM,2018,5
6,80,62.7,41,20,17.4,14,37,19.8,8,16,6.1,0,24.0,24.0,23.9,0.0,NM,2018,5
7,84,66.3,47,29,20.7,16,33,19.8,9,20,7.7,0,24.0,23.9,23.9,0.0,NM,2018,5
8,87,71.1,53,29,21.4,9,40,18.7,6,15,4.8,0,23.9,23.8,23.8,0.0,NM,2018,5
9,86,68.7,49,28,17.9,9,28,16.6,6,10,6.0,0,23.9,23.8,23.7,0.0,NM,2018,5
10,87,70.9,49,18,14.6,11,28,13.6,7,22,9.6,0,23.8,23.7,23.7,0.0,NM,2018,5
11,86,71.0,58,22,17.1,12,22,13.7,7,26,10.9,0,23.7,23.7,23.6,0.0,NM,2018,5
12,83,69.2,55,30,19.9,14,30,16.9,8,24,10.5,0,23.8,23.7,23.7,0.0,NM,2018,5
13,80,67.2,54,27,20.0,12,28,17.4,9,23,10.1,0,23.8,23.8,23.7,0.0,NM,2018,5
14,79,65.5,46,26,19.4,8,31,18.1,12,20,8.9,0,23.9,23.8,23.7,0.0,NM,2018,5
15,79,58.0,0,35,16.1,0,35,16.3,0,21,8.8,0,23.9,23.8,23.8,0.0,NM,2018,5
16,83,66.2,45,43,15.5,-1,56,21.6,4,18,7.4,0,23.9,23.8,23.8,0.0,NM,2018,5
17,84,67.3,41,17,8.7,-1,32,12.3,4,20,7.7,0,23.8,23.7,23.6,0.0,NM,2018,5
18,78,64.8,45,13,7.8,0,22,11.6,5,18,8.8,0,23.7,23.7,23.6,0.0,NM,2018,5
19,79,63.3,39,36,13.9,0,37,18.6,5,18,7.8,0,23.8,23.7,23.7,0.0,NM,2018,5
20,75,62.7,45,45,37.6,28,71,42.7,18,23,14.6,0,23.9,23.8,23.8,0.0,NM,2018,5
21,75,59.5,49,50,47.8,44,97,67.8,36,24,14.8,0,23.9,23.8,23.8,0.0,NM,2018,5
22,72,60.8,48,55,50.7,47,96,71.0,41,22,11.9,0,23.9,23.8,23.7,0.12,NM,2018,5
23,82,66.7,53,56,45.4,18,96,56.7,10,24,15.1,10,23.9,23.8,23.8,0.12,NM,2018,5
24,82,68.1,50,48,32.6,18,89,36.7,9,15,7.4,0,23.9,23.9,23.9,0.0,NM,2018,5
25,87,69.5,45,30,18.5,5,48,19.2,5,17,8.6,3,23.9,23.9,23.8,0.0,NM,2018,5
26,83,69.0,50,22,17.0,11,30,15.7,7,16,7.7,0,23.8,23.8,23.7,0.0,NM,2018,5
27,86,71.9,59,22,9.9,-10,24,10.9,2,18,7.2,0,23.8,23.7,23.7,0.0,NM,2018,5
28,83,66.2,42,15,8.6,0,28,12.6,4,24,10.1,0,23.8,23.7,23.7,0.0,NM,2018,5
29,83,67.9,51,26,19.8,16,26,16.9,10,26,10.6,3,23.8,23.7,23.7,0.0,NM,2018,5
30,86,70.0,54,24,21.3,17,29,17.7,8,22,11.2,0,23.8,23.7,23.7,0.0,NM,2018,5
31,89,72.0,48,30,15.4,4,41,15.8,4,15,8.8,0,23.8,23.8,23.7,0.0,NM,2018,5
1,86,71.9,50,12,6.4,1,21,9.0,4,20,10.2,0,23.9,23.8,23.8,0.0,NM,2018,6
2,86,71.7,55,36,19.8,9,31,15.0,8,24,15.3,6,24.0,23.9,23.9,0.0,NM,2018,6
3,77,62.5,53,55,46.9,36,93,60.0,31,28,15.4,0,24.0,24.0,23.9,0.0,NM,2018,6
4,85,67.0,46,52,42.5,27,100,52.9,12,14,6.4,0,24.0,23.9,23.8,0.16,NM,2018,6
5,91,63.5,0,40,21.2,0,57,19.6,0,16,7.9,0,23.9,23.8,23.8,0.0,NM,2018,6
6,91,73.3,49,29,22.1,15,35,16.6,6,23,7.9,0,23.9,23.8,23.7,0.0,NM,2018,6
7,91,78.1,59,34,22.6,13,39,15.6,6,17,9.0,0,23.9,23.8,23.8,0.0,NM,2018,6
8,91,75.9,51,38,25.0,16,38,18.0,7,15,6.8,0,23.9,23.9,23.8,0.0,NM,2018,6
9,90,76.7,64,52,38.2,24,58,30.4,9,21,12.6,6,23.9,23.9,23.8,0.0,NM,2018,6
10,92,79.3,63,35,20.6,0,25,13.6,3,20,9.8,0,23.8,23.8,23.7,0.0,NM,2018,6
11,91,77.1,58,30,15.3,10,20,10.6,6,15,7.6,0,23.8,23.8,23.7,0.0,NM,2018,6
12,96,80.0,60,32,18.0,6,32,12.8,4,16,8.3,0,23.9,23.8,23.8,0.0,NM,2018,6
13,90,77.9,70,55,42.3,22,53,31.0,12,30,17.4,0,23.9,23.9,23.8,0.0,NM,2018,6
14,92,76.4,61,45,38.5,30,53,28.6,11,24,9.9,0,23.9,23.8,23.7,0.0,NM,2018,6
15,89,77.0,61,42,37.4,25,48,27.1,10,17,7.1,0,23.8,23.7,23.7,0.0,NM,2018,6
16,75,64.3,59,61,57.2,41,100,79.9,29,18,9.5,0,23.7,23.7,23.7,0.01,NM,2018,6
17,78,67.0,57,59,51.2,43,97,62.7,30,16,7.6,0,23.8,23.8,23.7,0.08,NM,2018,6
18,85,71.8,53,46,38.5,31,66,34.1,14,17,6.3,0,23.9,23.9,23.8,0.0,NM,2018,6
19,89,74.6,59,42,26.7,5,48,21.5,5,21,8.8,0,23.9,23.8,23.7,0.0,NM,2018,6
20,91,74.2,50,38,21.6,14,44,16.0,7,24,9.2,0,23.9,23.8,23.8,0.0,NM,2018,6
21,92,77.2,55,58,38.5,10,65,31.8,5,20,9.3,0,24.0,23.9,23.8,0.0,NM,2018,6
22,96,79.6,58,43,24.0,7,49,19.3,4,25,11.3,0,23.8,23.8,23.7,0.0,NM,2018,6
23,93,76.6,55,17,10.3,4,18,9.3,4,24,9.4,0,23.8,23.7,23.7,0.0,NM,2018,6
24,94,78.5,57,29,21.0,14,25,12.8,6,24,12.1,0,23.8,23.7,23.7,0.0,NM,2018,6
25,90,73.6,58,48,25.1,-1,64,22.4,3,21,11.2,3,23.9,23.9,23.8,0.0,NM,2018,6
26,96,78.3,54,43,23.2,8,55,19.1,5,13,6.3,0,23.9,23.9,23.8,0.0,NM,2018,6
27,100,82.0,59,31,16.4,7,19,10.2,3,21,8.2,0,23.9,23.8,23.8,0.0,NM,2018,6
28,97,83.6,68,35,28.0,9,28,15.4,4,26,12.7,0,23.9,23.8,23.7,0.0,NM,2018,6
29,88,77.0,58,33,29.3,24,37,18.9,10,18,6.5,0,23.8,23.8,23.7,0.0,NM,2018,6
30,90,77.3,62,36,28.0,23,31,17.8,9,21,9.7,0,23.8,23.8,23.7,0.0,NM,2018,6
1,91,74.8,52,46,31.3,20,45,23.3,8,15,7.7,0,23.9,23.9,23.8,0.0,NM,2018,7
2,92,79.3,67,48,36.9,21,47,25.6,8,24,10.1,0,23.9,23.9,23.8,0.0,NM,2018,7
3,92,75.9,60,53,38.2,24,72,33.2,10,21,9.6,0,23.9,23.9,23.8,0.0,NM,2018,7
4,94,76.6,60,50,33.1,25,49,23.1,10,30,12.7,0,24.1,24.0,23.9,0.0,NM,2018,7
5,88,71.7,60,61,51.4,44,93,54.4,22,32,13.5,0,24.2,24.1,24.1,0.0,NM,2018,7
6,82,71.4,60,57,52.8,47,84,55.2,30,16,8.4,3,24.2,24.1,24.1,0.44,NM,2018,7
7,87,73.8,59,56,51.4,46,87,48.9,27,23,9.2,0,24.1,24.0,23.9,0.0,NM,2018,7
8,86,74.1,62,55,48.8,33,75,44.6,15,16,8.2,0,24.0,24.0,23.9,0.0,NM,2018,7
9,86,74.0,58,52,46.0,38,78,41.1,19,22,10.1,0,24.1,24.0,24.0,0.0,NM,2018,7
10,87,74.2,60,54,48.2,39,75,43.8,19,20,6.5,0,24.1,24.0,23.9,0.0,NM,2018,7
11,88,72.3,60,54,50.6,39,72,49.9,21,29,8.8,0,24.0,23.9,23.8,0.0,NM,2018,7
12,84,71.4,58,58,53.3,47,78,56.1,29,18,7.6,0,24.0,23.9,23.9,0.0,NM,2018,7
13,82,70.5,56,60,53.9,47,90,58.6,29,22,8.1,0,24.0,24.0,23.9,0.0,NM,2018,7
14,87,72.9,56,58,53.0,47,93,54.2,26,21,7.7,0,24.0,23.9,23.9,0.0,NM,2018,7
15,87,73.7,59,61,52.1,40,87,52.4,19,21,9.3,0,24.0,23.9,23.9,0.0,NM,2018,7
16,83,70.7,61,63,58.0,51,90,66.1,33,25,8.8,0,24.0,24.0,23.9,0.05,NM,2018,7
17,87,74.9,60,60,54.7,47,96,54.3,26,18,9.7,0,24.0,24.0,23.9,0.27,NM,2018,7
18,93,77.6,61,54,47.0,33,75,39.9,13,13,9.0,3,24.0,23.9,23.9,0.0,NM,2018,7
19,93,79.0,61,49,44.3,38,60,33.0,15,24,6.5,0,23.9,23.9,23.9,0.0,NM,2018,7
20,95,80.1,62,50,45.1,39,60,32.0,15,24,7.4,0,23.9,23.9,23.9,0.0,NM,2018,7
21,96,83.4,68,49,39.3,31,49,24.2,10,16,8.7,0,24.0,23.9,23.9,0.0,NM,2018,7
22,98,83.4,65,42,35.5,28,34,19.8,8,16,8.9,3,24.0,23.9,23.9,0.0,NM,2018,7
23,94,75.7,61,62,51.1,44,97,50.2,18,30,12.6,0,24.1,24.0,23.9,0.0,NM,2018,7
24,89,71.3,62,60,56.9,51,93,64.7,28,28,10.5,0,24.1,24.1,23.9,0.62,NM,2018,7
25,90,74.3,60,58,54.6,44,93,54.5,24,21,8.3,0,24.1,24.0,23.9,0.02,NM,2018,7
26,84,71.8,63,61,55.7,51,87,60.0,34,16,8.2,5,24.0,24.0,23.9,0.0,NM,2018,7
27,83,67.9,59,60,55.9,50,100,68.8,37,25,12.3,3,24.1,24.0,24.0,0.18,NM,2018,7
28,83,68.5,56,59,54.3,46,100,66.0,35,15,8.6,3,24.0,24.0,23.9,0.15,NM,2018,7
29,89,74.5,61,51,47.0,30,70,42.0,12,26,12.6,3,24.0,23.9,23.9,0.0,NM,2018,7
30,83,71.5,62,57,53.8,48,68,54.6,37,26,15.1,0,24.0,24.0,23.9,0.0,NM,2018,7
31,80,69.0,61,59,53.7,49,83,60.4,35,28,11.2,0,24.0,24.0,23.9,0.0,NM,2018,7
1,86,71.0,57,61,53.4,35,97,59.0,16,20,6.8,0,24.0,23.9,23.9,0.11,NM,2018,8
2,88,72.1,58,59,53.2,46,84,56.1,25,31,9.6,0,24.0,23.9,23.9,0.02,NM,2018,8
3,84,70.8,62,61,57.1,50,96,65.1,32,21,8.7,0,23.9,23.9,23.8,0.0,NM,2018,8
4,90,75.3,58,56,47.9,31,90,45.5,12,21,8.5,0,23.9,23.9,23.8,0.09,NM,2018,8
5,91,79.0,67,54,49.7,45,59,37.7,21,18,9.4,0,23.9,23.9,23.9,0.0,NM,2018,8
6,92,79.8,67,54,47.9,33,61,35.6,13,26,10.2,0,24.0,23.9,23.8,0.0,NM,2018,8
7,89,76.2,60,63,52.7,46,69,46.0,22,14,7.7,0,24.0,23.9,23.8,0.0,NM,2018,8
8,89,74.5,64,55,48.4,30,67,44.1,12,24,11.0,3,24.0,23.9,23.9,0.28,NM,2018,8
9,86,71.0,56,51,47.0,36,84,46.1,19,38,10.4,0,24.0,24.0,23.9,0.0,NM,2018,8
10,80,68.3,56,54,48.3,41,87,52.2,30,25,11.0,0,24.0,24.0,23.9,0.0,NM,2018,8
11,80,69.6,56,54,48.1,43,74,49.3,27,16,10.9,5,24.0,24.0,23.9,0.0,NM,2018,8
12,81,67.9,50,51,45.3,39,96,50.6,24,14,7.4,0,24.0,23.9,23.9,0.0,NM,2018,8
13,88,69.7,55,56,49.5,38,87,54.1,21,18,8.2,0,23.9,23.9,23.8,0.0,NM,2018,8
14,89,72.6,56,58,46.6,38,75,46.1,16,22,9.4,0,23.9,23.9,23.8,0.04,NM,2018,8
15,87,72.2,62,58,52.1,45,84,52.7,24,25,10.3,0,23.9,23.9,23.9,0.06,NM,2018,8
16,88,72.6,60,58,51.7,45,90,52.2,23,25,7.2,0,24.0,24.0,23.9,0.03,NM,2018,8
17,88,71.4,59,61,55.0,45,90,59.4,22,16,8.6,0,24.0,24.0,24.0,0.0,NM,2018,8
18,84,71.7,59,61,55.8,50,93,60.8,37,30,10.4,3,24.0,23.9,23.8,0.09,NM,2018,8
19,88,72.1,54,54,43.3,21,93,47.8,9,24,9.2,0,23.9,23.9,23.8,0.02,NM,2018,8
20,84,71.5,59,55,50.3,43,83,50.8,25,18,11.3,3,24.0,24.0,23.9,0.0,NM,2018,8
21,87,69.9,58,60,55.3,43,90,64.8,21,26,9.3,0,24.0,24.0,23.9,0.0,NM,2018,8
22,75,64.0,59,61,58.8,55,100,85.0,52,20,5.8,0,24.1,24.0,24.0,0.24,NM,2018,8
23,77,66.1,55,60,56.9,51,100,75.8,45,15,5.3,0,24.0,23.9,23.9,0.42,NM,2018,8
24,85,71.8,57,58,52.9,46,96,55.4,27,14,7.0,0,23.9,23.9,23.8,0.0,NM,2018,8
25,83,70.9,57,62,55.1,49,100,62.7,31,23,10.2,0,23.9,23.9,23.9,0.0,NM,2018,8
26,82,70.0,61,57,52.4,49,84,56.5,31,32,14.1,0,23.9,23.9,23.8,0.0,NM,2018,8
